"","sentence_id","word","element_id","word_count","sentiment","ave_sentiment","sd_sentiment"
"1",38,"information",43,1,0.4,0.4,NA
"2",42,"general",48,1,0.4,0.4,NA
"3",46,"general",54,1,0.4,0.4,NA
"4",57,"general",67,1,0.4,0.4,NA
"5",61,"chairman",73,1,0.25,0.25,NA
"6",96,"loss",119,1,-0.75,-0.75,NA
"7",99,"comprehensive",122,1,0.75,0.75,NA
"8",116,"equity",142,1,1,1,NA
"9",122,"equity",149,1,1,1,NA
"10",128,"cash",156,1,0.4,0.4,NA
"11",141,"major",173,1,0.4,0.4,NA
"12",150,"general",183,1,0.4,0.4,NA
"13",155,"information",190,1,0.4,0.4,NA
"14",197,"chairman",235,1,0.25,0.25,NA
"15",203,"director",241,1,0.25,0.25,NA
"16",232,"main",270,1,0.4,0.4,NA
"17",234,"custody",272,1,-0.4,-0.4,NA
"18",237,"limited",275,1,-0.75,-0.75,NA
"19",268,"limited",316,1,-0.75,-0.75,NA
"20",275,"limited",324,1,-0.75,-0.75,NA
"21",295,"limited",347,1,-0.75,-0.75,NA
"22",323,"shares",383,1,0.1,0.1,NA
"23",328,"shares",388,1,0.1,0.1,NA
"24",335,"exchange",395,1,0.25,0.25,NA
"25",340,"exchange",400,1,0.25,0.25,NA
"26",346,"general",407,1,0.4,0.4,NA
"27",357,"general",418,1,0.4,0.4,NA
"28",392,"received",457,1,0.6,0.6,NA
"29",396,"presence",461,1,0.4,0.4,NA
"30",401,"approve",467,1,0.5,0.5,NA
"31",409,"general",475,1,0.4,0.4,NA
"32",419,"adopt",487,1,0.5,0.5,NA
"33",435,"chairman",505,1,0.25,0.25,NA
"34",454,"share",526,1,0.5,0.5,NA
"35",463,"approve",540,1,0.5,0.5,NA
"36",482,"elect",562,1,0.6,0.6,NA
"37",490,"director",570,1,0.25,0.25,NA
"38",508,"eligible",589,1,0.8,0.8,NA
"39",530,"director",612,1,0.25,0.25,NA
"40",548,"eligible",631,1,0.8,0.8,NA
"41",584,"risk",671,1,-0.75,-0.75,NA
"42",590,"continue",677,1,0.4,0.4,NA
"43",665,"special",759,1,0.8,0.8,NA
"44",672,"fit",767,1,0.4,0.4,NA
"45",674,"amend",769,1,0.8,0.8,NA
"46",686,"special",787,1,0.8,0.8,NA
"47",733,"hybrid",836,1,0.25,0.25,NA
"48",749,"permitting",852,1,0.8,0.8,NA
"49",757,"communicate",860,1,0.6,0.6,NA
"50",768,"capable",871,1,0.5,0.5,NA
"51",774,"participation",877,1,0.6,0.6,NA
"52",778,"presence",881,1,0.4,0.4,NA
"53",793,"present",896,1,0.25,0.25,NA
"54",801,"general",905,1,0.4,0.4,NA
"55",804,"special",908,1,0.8,0.8,NA
"56",815,"determined",921,1,0.5,0.5,NA
"57",828,"excluding",934,1,-0.8,-0.8,NA
"58",860,"general",970,1,0.4,0.4,NA
"59",864,"general",974,1,0.4,0.4,NA
"60",875,"technology",985,1,0.1,0.1,NA
"61",889,"technology",999,1,0.1,0.1,NA
"62",892,"hybrid",1002,1,0.25,0.25,NA
"63",911,"communicate",1021,1,0.6,0.6,NA
"64",918,"capable",1028,1,0.5,0.5,NA
"65",924,"participation",1034,1,0.6,0.6,NA
"66",928,"presence",1038,1,0.4,0.4,NA
"67",945,"present",1055,1,0.25,0.25,NA
"68",956,"general",1067,1,0.4,0.4,NA
"69",964,"received",1075,1,0.6,0.6,NA
"70",980,"entitled",1093,1,-0.25,-0.25,NA
"71",989,"entitled",1102,1,-0.25,-0.25,NA
"72",1033,"advance",1146,1,0.8,0.8,NA
"73",1037,"general",1150,1,0.4,0.4,NA
"74",1083,"general",1203,1,0.4,0.4,NA
"75",1093,"pandemic",1216,1,-1,-1,NA
"76",1104,"general",1227,1,0.4,0.4,NA
"77",1111,"wishing",1235,1,0.8,0.8,NA
"78",1178,"purchase",1304,1,0.25,0.25,NA
"79",1180,"shares",1306,1,0.1,0.1,NA
"80",1183,"shares",1309,1,0.1,0.1,NA
"81",1193,"assistance",1319,1,0.8,0.8,NA
"82",1248,"wishing",1387,1,0.8,0.8,NA
"83",1300,"option",1441,1,0.4,0.4,NA
"84",1339,"option",1480,1,0.4,0.4,NA
"85",1376,"custody",1520,1,-0.4,-0.4,NA
"86",1389,"wishing",1534,1,0.8,0.8,NA
"87",1413,"option",1558,1,0.4,0.4,NA
"88",1430,"option",1577,1,0.4,0.4,NA
"89",1452,"entitled",1602,1,-0.25,-0.25,NA
"90",1461,"entitled",1611,1,-0.25,-0.25,NA
"91",1488,"chairman",1638,1,0.25,0.25,NA
"92",1505,"enabled",1655,1,0.6,0.6,NA
"93",1511,"included",1661,1,0.6,0.6,NA
"94",1519,"available",1669,1,0.8,0.8,NA
"95",1530,"regulatory",1680,1,-0.25,-0.25,NA
"96",1540,"available",1690,1,0.8,0.8,NA
"97",1546,"custody",1696,1,-0.4,-0.4,NA
"98",1569,"attorney",1719,1,-0.25,-0.25,NA
"99",1571,"authorized",1721,1,0.6,0.6,NA
"100",1602,"authorized",1752,1,0.6,0.6,NA
"101",1603,"attorney",1753,1,-0.25,-0.25,NA
"102",1622,"custody",1772,1,-0.4,-0.4,NA
"103",1639,"received",1789,1,0.6,0.6,NA
"104",1678,"rejected",1832,1,-1,-1,NA
"105",1685,"concerned",1839,1,-0.6,-0.6,NA
"106",1693,"allow",1848,1,0.25,0.25,NA
"107",1698,"issues",1853,1,-1,-1,NA
"108",1704,"general",1860,1,0.4,0.4,NA
"109",1732,"general",1889,1,0.4,0.4,NA
"110",1750,"prompt",1907,1,0.6,0.6,NA
"111",1775,"prompt",1933,1,0.6,0.6,NA
"112",1781,"ahead",1939,1,0.8,0.8,NA
"113",1785,"reminding",1943,1,-0.25,-0.25,NA
"114",1801,"providing",1959,1,0.8,0.8,NA
"115",1841,"chairman",2000,1,0.25,0.25,NA
"116",1865,"forward",2027,1,0.6,0.6,NA
"117",1869,"results",2032,1,0.25,0.25,NA
"118",1884,"preferred",2049,1,0.8,0.8,NA
"119",1898,"wish",2064,1,0.8,0.8,NA
"120",1915,"payment",2081,1,-0.1,-0.1,NA
"121",1927,"share",2095,1,0.5,0.5,NA
"122",1929,"custody",2097,1,-0.4,-0.4,NA
"123",1932,"limited",2100,1,-0.75,-0.75,NA
"124",1934,"present",2103,1,0.25,0.25,NA
"125",1953,"assets",2122,1,0.5,0.5,NA
"126",1963,"shares",2134,1,0.1,0.1,NA
"127",1986,"assets",2158,1,0.5,0.5,NA
"128",1987,"authority",2159,1,0.5,0.5,NA
"129",1989,"authority",2161,1,0.5,0.5,NA
"130",1991,"abandoned",2163,1,-0.5,-0.5,NA
"131",1992,"assets",2164,1,0.5,0.5,NA
"132",1999,"present",2171,1,0.25,0.25,NA
"133",2004,"unpaid",2176,1,-0.8,-0.8,NA
"134",2010,"contact",2182,1,0.4,0.4,NA
"135",2012,"share",2184,1,0.5,0.5,NA
"136",2014,"custody",2186,1,-0.4,-0.4,NA
"137",2017,"limited",2189,1,-0.75,-0.75,NA
"138",2026,"unpaid",2198,1,-0.8,-0.8,NA
"139",2029,"avert",2201,1,-0.25,-0.25,NA
"140",2031,"risk",2203,1,-0.75,-0.75,NA
"141",2039,"authority",2211,1,0.5,0.5,NA
"142",2040,"custody",2212,1,-0.4,-0.4,NA
"143",2043,"limited",2215,1,-0.75,-0.75,NA
"144",2072,"general",2248,1,0.4,0.4,NA
"145",2087,"present",2266,1,0.25,0.25,NA
"146",2122,"chairman",2301,1,0.25,0.25,NA
"147",2126,"director",2305,1,0.25,0.25,NA
"148",2127,"director",2306,1,0.25,0.25,NA
"149",2128,"director",2307,1,0.25,0.25,NA
"150",2129,"director",2308,1,0.25,0.25,NA
"151",2130,"director",2309,1,0.25,0.25,NA
"152",2133,"director",2312,1,0.25,0.25,NA
"153",2141,"limited",2320,1,-0.75,-0.75,NA
"154",2144,"limited",2323,1,-0.75,-0.75,NA
"155",2146,"director",2325,1,0.25,0.25,NA
"156",2151,"present",2331,1,0.25,0.25,NA
"157",2153,"attendance",2333,1,0.4,0.4,NA
"158",2170,"chairman",2350,1,0.25,0.25,NA
"159",2175,"welcoming",2355,1,1,1,NA
"160",2183,"general",2363,1,0.4,0.4,NA
"161",2205,"pandemic",2386,1,-1,-1,NA
"162",2211,"present",2392,1,0.25,0.25,NA
"163",2224,"introduced",2405,1,0.6,0.6,NA
"164",2240,"present",2421,1,0.25,0.25,NA
"165",2254,"chairman",2436,1,0.25,0.25,NA
"166",2267,"received",2449,1,0.6,0.6,NA
"167",2269,"confirmed",2451,1,0.5,0.5,NA
"168",2271,"presence",2453,1,0.4,0.4,NA
"169",2283,"chairman",2465,1,0.25,0.25,NA
"170",2288,"properly",2470,1,1,1,NA
"171",2292,"chairman",2475,1,0.25,0.25,NA
"172",2296,"chairman",2479,1,0.25,0.25,NA
"173",2307,"management",2490,1,0.4,0.4,NA
"174",2318,"virus",2502,1,-0.5,-0.5,NA
"175",2320,"well",2504,1,0.8,0.8,NA
"176",2322,"support",2506,1,0.5,0.5,NA
"177",2327,"community",2511,1,0.6,0.6,NA
"178",2331,"government",2515,1,-0.5,-0.5,NA
"179",2336,"pandemic",2521,1,-1,-1,NA
"180",2353,"community",2538,1,0.6,0.6,NA
"181",2367,"virus",2554,1,-0.5,-0.5,NA
"182",2371,"initiated",2558,1,0.6,0.6,NA
"183",2372,"community",2559,1,0.6,0.6,NA
"184",2377,"prevent",2564,1,-0.25,-0.25,NA
"185",2382,"virus",2570,1,-0.5,-0.5,NA
"186",2383,"including",2571,1,0.6,0.6,NA
"187",2388,"clean",2576,1,0.75,0.75,NA
"188",2391,"protective",2579,1,0.5,0.5,NA
"189",2399,"assist",2587,1,0.8,0.8,NA
"190",2410,"experienced",2598,1,0.6,0.6,NA
"191",2431,"pandemic",2622,1,-1,-1,NA
"192",2435,"confidence",2626,1,0.75,0.75,NA
"193",2441,"exceptional",2632,1,0.5,0.5,NA
"194",2445,"provide",2636,1,0.8,0.8,NA
"195",2446,"additional",2637,1,0.25,0.25,NA
"196",2447,"opportunities",2638,1,1,1,NA
"197",2457,"better",2648,1,0.8,0.8,NA
"198",2458,"improve",2649,1,0.75,0.75,NA
"199",2460,"performance",2651,1,0.4,0.4,NA
"200",2462,"chairman",2653,1,0.25,0.25,NA
"201",2469,"relating",2660,1,0.1,0.1,NA
"202",2483,"chairman",2674,1,0.25,0.25,NA
"203",2522,"reading",2713,1,0.1,0.1,NA
"204",2533,"results",2727,1,0.25,0.25,NA
"205",2555,"chairman",2750,1,0.25,0.25,NA
"206",2565,"general",2760,1,0.4,0.4,NA
"207",2581,"available",2778,1,0.8,0.8,NA
"208",2589,"recommended",2786,1,0.5,0.5,NA
"209",2607,"general",2805,1,0.4,0.4,NA
"210",2631,"chairman",2835,1,0.25,0.25,NA
"211",2632,"recommended",2836,1,0.5,0.5,NA
"212",2639,"chairman",2843,1,0.25,0.25,NA
"213",2691,"chairman",2901,1,0.25,0.25,NA
"214",2692,"confirmed",2902,1,0.5,0.5,NA
"215",2697,"received",2907,1,0.6,0.6,NA
"216",2713,"chairman",2923,1,0.25,0.25,NA
"217",2740,"chairman",2950,1,0.25,0.25,NA
"218",2744,"director",2954,1,0.25,0.25,NA
"219",2760,"chairman",2970,1,0.25,0.25,NA
"220",2771,"relating",2981,1,0.1,0.1,NA
"221",2785,"chairman",2995,1,0.25,0.25,NA
"222",2818,"confirmed",3028,1,0.5,0.5,NA
"223",2828,"discussion",3038,1,0.4,0.4,NA
"224",2854,"guide",3064,1,0.6,0.6,NA
"225",2861,"procedure",3071,1,0.4,0.4,NA
"226",2863,"respect",3073,1,0.5,0.5,NA
"227",2871,"results",3082,1,0.25,0.25,NA
"228",2885,"outcome",3096,1,-0.25,-0.25,NA
"229",2896,"general",3107,1,0.4,0.4,NA
"230",2905,"approval",3116,1,1,1,NA
"231",2924,"resolved",3135,1,0.6,0.6,NA
"232",2933,"general",3144,1,0.4,0.4,NA
"233",2942,"approved",3155,1,1,1,NA
"234",2967,"resolved",3182,1,0.6,0.6,NA
"235",2987,"chairman",3204,1,0.25,0.25,NA
"236",3014,"grace",3231,1,1,1,NA
"237",3019,"resolved",3236,1,0.6,0.6,NA
"238",3030,"share",3248,1,0.5,0.5,NA
"239",3032,"respect",3250,1,0.5,0.5,NA
"240",3043,"approved",3263,1,1,1,NA
"241",3045,"payment",3265,1,-0.1,-0.1,NA
"242",3083,"resolved",3305,1,0.6,0.6,NA
"243",3105,"approved",3329,1,1,1,NA
"244",3115,"general",3340,1,0.4,0.4,NA
"245",3122,"results",3348,1,0.25,0.25,NA
"246",3147,"resolved",3373,1,0.6,0.6,NA
"247",3155,"director",3381,1,0.25,0.25,NA
"248",3178,"eligible",3405,1,0.8,0.8,NA
"249",3219,"unanimously",3447,1,0.25,0.25,NA
"250",3220,"resolved",3448,1,0.6,0.6,NA
"251",3227,"director",3455,1,0.25,0.25,NA
"252",3245,"eligible",3474,1,0.8,0.8,NA
"253",3286,"resolved",3516,1,0.6,0.6,NA
"254",3293,"director",3523,1,0.25,0.25,NA
"255",3331,"special",3565,1,0.8,0.8,NA
"256",3335,"received",3569,1,0.6,0.6,NA
"257",3372,"risk",3608,1,-0.75,-0.75,NA
"258",3390,"resolved",3626,1,0.6,0.6,NA
"259",3414,"risk",3652,1,-0.75,-0.75,NA
"260",3422,"continue",3660,1,0.4,0.4,NA
"261",3465,"unanimously",3703,1,0.25,0.25,NA
"262",3466,"resolved",3704,1,0.6,0.6,NA
"263",3506,"authorized",3749,1,0.6,0.6,NA
"264",3529,"chairman",3775,1,0.25,0.25,NA
"265",3536,"eat",3783,1,0.6,0.6,NA
"266",3543,"care",3790,1,1,1,NA
