CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
KUKZ,27-Feb-20,Kakuzi Plc,300,423.5,320,320,320,318,2,0.63%,100,-,27-02-2020,2020-02-27,Agricultural,Kakuzi Plc
KUKZ,06-Apr-20,Kakuzi Plc,300,423.5,301,301,301,300,1,0.33%,100,-,06-04-2020,2020-04-06,Agricultural,Kakuzi Plc
KUKZ,14-Feb-20,Kakuzi Plc,300,423.5,320,320,320,320,-,-,-,-,14-02-2020,2020-02-14,Agricultural,Kakuzi Plc
KUKZ,16-Jul-20,Kakuzi Plc,300,397,328,328,328,328,-,-,-,-,16-07-2020,2020-07-16,Agricultural,Kakuzi Plc
KUKZ,26-May-20,Kakuzi Plc,300,423.5,320.5,320.5,320.5,320.5,-,-,-,-,26-05-2020,2020-05-26,Agricultural,Kakuzi Plc
KUKZ,23-Jan-20,Kakuzi Plc,300,423.5,310,310,310,310,-,-,-,-,23-01-2020,2020-01-23,Agricultural,Kakuzi Plc
KUKZ,08-Oct-20,Kakuzi Plc,300,397,385,385,385,385,-,-,-,-,08-10-2020,2020-10-08,Agricultural,Kakuzi Plc
KUKZ,31-Jan-20,Kakuzi Plc,300,423.5,320,320,320,320,-,-,-,-,31-01-2020,2020-01-31,Agricultural,Kakuzi Plc
KUKZ,15-Jul-20,Kakuzi Plc,300,397,328,328,328,328,-,-,-,-,15-07-2020,2020-07-15,Agricultural,Kakuzi Plc
KUKZ,15-Sep-20,Kakuzi Plc,300,397,391,391,391,391,-,-,-,-,15-09-2020,2020-09-15,Agricultural,Kakuzi Plc
KUKZ,21-Jul-20,Kakuzi Plc,300,397,360,360,360,360,-,-,-,-,21-07-2020,2020-07-21,Agricultural,Kakuzi Plc
KUKZ,06-Jan-20,Kakuzi Plc,300,423.5,340,340,340,340,-,-,-,-,06-01-2020,2020-01-06,Agricultural,Kakuzi Plc
KUKZ,22-Jun-20,Kakuzi Plc,300,423.5,340,340,340,332,8,2.41%,200,-,22-06-2020,2020-06-22,Agricultural,Kakuzi Plc
KUKZ,13-Jul-20,Kakuzi Plc,300,397,328,328,328,325,3,0.92%,100,-,13-07-2020,2020-07-13,Agricultural,Kakuzi Plc
KUKZ,02-Mar-20,Kakuzi Plc,300,423.5,319,319,319,319,-,-,-,-,02-03-2020,2020-03-02,Agricultural,Kakuzi Plc
KUKZ,10-Nov-20,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,10-11-2020,2020-11-10,Agricultural,Kakuzi Plc
KUKZ,14-May-20,Kakuzi Plc,300,423.5,341,341,341,341,-,-,-,-,14-05-2020,2020-05-14,Agricultural,Kakuzi Plc
KUKZ,03-Feb-20,Kakuzi Plc,300,423.5,320,320,320,320,-,-,-,-,03-02-2020,2020-02-03,Agricultural,Kakuzi Plc
KUKZ,04-Mar-20,Kakuzi Plc,300,423.5,319,319,319,319,-,-,-,-,04-03-2020,2020-03-04,Agricultural,Kakuzi Plc
KUKZ,05-Nov-20,Kakuzi Plc,300,397,370,375,370.75,370,0.75,0.20%,1000,-,05-11-2020,2020-11-05,Agricultural,Kakuzi Plc
KUKZ,24-Jan-20,Kakuzi Plc,300,423.5,310,310,310,310,-,-,-,-,24-01-2020,2020-01-24,Agricultural,Kakuzi Plc
KUKZ,11-Mar-20,Kakuzi Plc,300,423.5,319,319,319,319,-,-,-,-,11-03-2020,2020-03-11,Agricultural,Kakuzi Plc
KUKZ,13-Jan-20,Kakuzi Plc,300,423.5,360,360,360,360,-,-,-,-,13-01-2020,2020-01-13,Agricultural,Kakuzi Plc
