CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
KUKZ,18-Sep-19,Kakuzi Plc,300,423.5,385,385,385,350,35,10.00%,100,-,18-09-2019,2019-09-18,Agricultural,Kakuzi Plc
KUKZ,15-Aug-17,Kakuzi Plc,300,423.5,309,309,309,309,-,-,-,-,15-08-2017,2017-08-15,Agricultural,Kakuzi Plc
KUKZ,11-Aug-14,Kakuzi Plc,300,423.5,171,171,171,171,-,-,-,-,11-08-2014,2014-08-11,Agricultural,Kakuzi Plc
KUKZ,8-Jan-13,Kakuzi Plc,300,423.5,72,72,72,70,2,2.86%,100,-,08-01-2013,2013-01-08,Agricultural,Kakuzi Plc
KUKZ,23-Apr-13,Kakuzi Plc,300,423.5,82.5,85,84.5,82,2.5,3.05%,"10,200",-,23-04-2013,2013-04-23,Agricultural,Kakuzi Plc
KUKZ,21-May-18,Kakuzi Plc,300,423.5,351,351,351,351,-,-,-,-,21-05-2018,2018-05-21,Agricultural,Kakuzi Plc
KUKZ,20-Jun-17,Kakuzi Plc,300,423.5,294,294,294,294,-,-,-,-,20-06-2017,2017-06-20,Agricultural,Kakuzi Plc
KUKZ,26-Oct-16,Kakuzi Plc,300,423.5,265,265,265,265,-,-,-,-,26-10-2016,2016-10-26,Agricultural,Kakuzi Plc
KUKZ,23-Jul-14,Kakuzi Plc,300,423.5,155,155,155,154,1,0.65%,100,-,23-07-2014,2014-07-23,Agricultural,Kakuzi Plc
KUKZ,07-Jul-17,Kakuzi Plc,300,423.5,300,300,300,300,-,-,-,-,07-07-2017,2017-07-07,Agricultural,Kakuzi Plc
KUKZ,08-May-14,Kakuzi Plc,300,423.5,116,116,116,116,-,-,-,-,08-05-2014,2014-05-08,Agricultural,Kakuzi Plc
KUKZ,20-Apr-18,Kakuzi Plc,300,423.5,361,361,361,361,-,-,-,-,20-04-2018,2018-04-20,Agricultural,Kakuzi Plc
KUKZ,5-Apr-13,Kakuzi Plc,300,423.5,85,86,85,85,-,-,"85,900",-,05-04-2013,2013-04-05,Agricultural,Kakuzi Plc
KUKZ,14-Feb-14,Kakuzi Plc,300,423.5,120,120,120,120,-,-,-,-,14-02-2014,2014-02-14,Agricultural,Kakuzi Plc
KUKZ,06-Aug-19,Kakuzi Plc,300,423.5,340,340,340,340,-,-,-,-,06-08-2019,2019-08-06,Agricultural,Kakuzi Plc
KUKZ,28-Oct-14,Kakuzi Plc,300,423.5,200,200,200,215,-15,6.98%,200,-,28-10-2014,2014-10-28,Agricultural,Kakuzi Plc
KUKZ,14-Sep-15,Kakuzi Plc,300,423.5,330,330,330,310,20,6.45%,300,-,14-09-2015,2015-09-14,Agricultural,Kakuzi Plc
